Code,Title,Oral Comprehension,Written Comprehension,Oral Expression,Written Expression,Fluency of Ideas,Originality,Problem Sensitivity,Deductive Reasoning,Inductive Reasoning,Information Ordering,Category Flexibility,Mathematical Reasoning,Number Facility,Memorization,Speed of Closure,Flexibility of Closure,Perceptual Speed,Spatial Orientation,Visualization,Selective Attention,Time Sharing,Arm-Hand Steadiness,Manual Dexterity,Finger Dexterity,Control Precision,Multilimb Coordination,Response Orientation,Rate Control,Reaction Time,Wrist-Finger Speed,Speed of Limb Movement,Static Strength,Explosive Strength,Dynamic Strength,Trunk Strength,Stamina,Extent Flexibility,Dynamic Flexibility,Gross Body Coordination,Gross Body Equilibrium,Near Vision,Far Vision,Visual Color Discrimination,Night Vision,Peripheral Vision,Depth Perception,Glare Sensitivity,Hearing Sensitivity,Auditory Attention,Sound Localization,Speech Recognition,Speech Clarity
35-1011.00,Chefs and Head Cooks,4.13,3.38,4,3.38,3.13,3.38,3.63,3.63,3.38,3.5,3.38,2.75,2.88,2,2.75,2.88,2.75,0.25,3.25,3,2.88,3,2.88,2.88,2.63,2.38,1.88,1.63,1.75,1.88,1.38,2.25,0,1.63,3,2.25,2.63,0.25,2,0.5,3.38,2.5,2.63,0,0.13,1.75,0,2.13,2.5,0,3.38,3.38
35-1012.00,First-Line Supervisors of Food Preparation and Serving Workers,3.88,3.5,3.88,3,2.88,3,3.38,3.25,2.88,3.38,3,2.62,2.75,2.88,2.38,2.88,2.75,0.75,3,2.75,2.88,2.5,2.5,2.62,2.25,2.5,1.75,1.5,1.5,2.25,2.12,2.38,0,1.5,2.5,1.75,2.5,0.12,2.12,0.75,3.5,3.38,2.5,0.12,0.12,1.75,0,1.62,2.62,0,3.38,3
35-2011.00,"Cooks, Fast Food",3.12,3,2.88,2.25,1.88,1.62,2.75,2.62,2.38,2.75,2.25,1.38,1.62,2.25,1.62,0.88,1.5,0,1.62,2.88,2.62,2.75,2.75,2,2,1.88,1,1.12,2,1.75,1.62,2.25,0.62,2,2.88,2,2.12,0.12,2,0.88,2.88,1.5,1.5,0,0,0.38,0,1,1.38,0,3,2.62
35-2012.00,"Cooks, Institution and Cafeteria",3.62,2.88,3.62,2.62,2.5,2.62,3,2.88,2.75,3.12,3,2.25,2.62,2.25,1.88,2,2.38,0,2.75,3,3.12,2.62,3.12,2.88,2.25,2.25,1.5,1.88,2,2.25,1.88,2,0.12,2,3,2.25,2.25,0.25,2.12,1.38,3,2.5,2.5,0,0,1.88,0,2.12,2.25,0.12,2.75,2.75
35-2013.00,"Cooks, Private Household",3.5,2.75,3.13,2.38,3,3.38,3,3,2.88,2.75,3.13,2,2.38,1.5,2.25,2.13,2.38,0,2.38,2.75,2.25,2.75,3.38,3,2.25,2.5,1.88,1,1.38,2.25,0.38,2.5,0,2.13,2.75,1.75,2.75,0.13,1.75,1.13,3.13,2.63,2.5,0,0,2,0,2.13,1.88,0,2.88,2.5
35-2014.00,"Cooks, Restaurant",3.25,2.75,3.5,2.12,2.38,2.5,3,2.75,2.5,3.12,2.88,1.75,2,2.12,2.25,2.5,3,0.88,2.75,2.62,2.5,3,3.12,2.62,2.62,2.62,2,1.38,1.88,2.25,1.62,2.12,0,1.88,2.62,1.62,2.62,0.62,1.75,0.88,3.25,2.38,3.25,0,0,2,0,2.25,2.62,0.12,2.62,2.38
35-2015.00,"Cooks, Short Order",3.25,3,3,2.62,2.38,2.5,3,3,2.88,2.75,2.88,2.12,2.25,2,2.5,2.5,2.75,0,2.5,2.88,2.88,2.62,2.75,2.75,2.5,2.38,0.88,1.88,1.75,0.5,2.12,2,0.25,1.62,3,2.25,2.62,0.25,2.12,1.75,3.25,2.5,2.62,0,0.38,1.38,0,2.5,2.25,0,2.88,2.88
35-2021.00,Food Preparation Workers,2.75,2.38,2.38,1.62,1.62,1.62,2.38,2.12,1.88,2.25,2.5,0.88,1.12,1.5,1,1.62,2,0.5,2.12,2.38,2,2.5,2.62,2.5,1.62,2.25,0.12,0.25,0.12,2.25,2.25,2,0.12,1.88,2.62,2.38,2.88,0.38,1.88,0.62,2.62,2,2.25,0,0.12,1.38,0,1.75,2.25,0,2.38,2
35-3011.00,Bartenders,3.62,2.88,3.62,2.88,2.62,2.88,3.25,3.25,3.12,3,2.88,2,2.38,2.5,2.38,2.88,2.5,0.25,2.62,3.12,2.88,2.75,2.75,2.88,2.62,2.62,1.88,1.62,1.5,1.75,1.75,2.62,0,2.25,2.88,2.25,3.12,0,2.75,2,3.5,2.5,2.75,0,0,2,0,2.75,2.88,0,3.5,3.25
35-3021.00,"Combined Food Preparation and Serving Workers, Including Fast Food",2.88,2.5,2.88,1.88,2,1.88,2.62,2.38,2,2.62,2.5,1.62,1.88,2,1.75,1.88,2.25,0.5,2,2.38,2.62,2.25,2.12,2.12,2,2,1.5,0.75,1.25,1.62,1.5,2.25,0,1.38,2.62,1.5,2.5,0.25,2.12,0.75,3,2.25,1.62,0,0,1.25,0,2,2.38,0,3.38,3.12
35-3022.00,"Counter Attendants, Cafeteria, Food Concession, and Coffee Shop",2.88,2.75,3.12,2.75,2.5,2.5,2.75,2.5,2.38,2.75,2.62,2.12,2.62,2.5,2.25,2.62,2.5,0,2.62,2.88,2.75,2.38,2.38,2.88,2.38,0.38,0.5,0.25,0.25,0.5,1.12,0.25,0,0.5,2.75,2,2.38,0,1.75,0.38,3.12,2.62,2,0,0,2,0,2.12,2.5,0,3.12,2.88
35-3031.00,Waiters and Waitresses,3,2.5,3,1.75,2,1.88,2.75,2.25,2,2.25,2.38,1.25,1.12,2.75,2,2.12,2.12,0.88,1.5,2.38,2.62,2.38,2.62,2.25,1,2.38,0.12,0,0.62,0.25,1.88,2.38,0,2.12,3.25,2.62,2.88,0.38,2.5,0.88,2.88,2.38,1.75,0.25,0.38,0.62,0,1.75,2.38,0.25,3.25,3.12
35-3041.00,"Food Servers, Nonrestaurant",3.63,2.88,3.13,2.13,1.75,1.75,2.5,2.5,2.63,2.38,2.5,1.25,1.63,1.13,0.88,2.13,1.88,0.38,2,2.38,1.88,2.63,2.5,2.25,1.88,2.38,0.75,0.75,0.75,0.88,1.38,1.5,0,0.88,2.38,1.63,2,0.13,1.63,0.5,3,2.13,1.88,0,0.13,1.88,0,1.63,2,0.13,2.63,2.75
35-9011.00,Dining Room and Cafeteria Attendants and Bartender Helpers,2.63,1.75,2.38,1.38,1.5,1.75,2.38,2.13,2.13,2.25,2.38,0.38,0.88,1.25,1.63,2.13,2,0.25,1.75,2.5,2.25,2.88,3.13,2.88,2,2.63,1,0,0.25,1,2.13,3.13,0,2.38,3.13,2.5,3.13,0.38,2.38,1.25,2.38,2.5,2.25,0,0.38,1.38,0,2,2.38,0.38,2.88,2.13
35-9021.00,Dishwashers,2.25,1.88,2.25,1.5,1.5,1.5,1.88,1.88,1.75,2,2.13,0.88,1.25,1.38,2,1.75,2,1.13,1.75,2.38,2.13,2.63,3.5,2.38,2.38,2.75,2.5,2.38,2.5,2.13,2.38,2.75,0.25,2.13,2.63,2.25,3.13,0.38,2.25,1,2,2.13,1.63,1,1.25,1.88,1.88,1.75,2.25,1.13,2.13,2
35-9031.00,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",3.25,2.88,3.38,2.62,2.25,2.38,2.75,2.75,2.75,2.5,2.5,1.88,2,2.38,2.25,2.62,2.25,0.62,1.88,2.62,2.62,2.38,2.25,2.25,2.12,2.12,0.38,0.25,0.25,0.25,1.62,1.75,0,1.5,2.75,2.12,1.88,0,2.25,1.5,3.12,2.5,1.5,0,0,0.5,0,1.62,2.12,0,3.25,2.88
37-1011.00,First-Line Supervisors of Housekeeping and Janitorial Workers,3.5,3,3.75,3.25,2.75,2.38,2.88,3,3,3,2.88,2,2.88,1.88,2,2.25,2.12,1,2.12,2.5,2.5,2.25,2.25,2.25,2.12,2.38,1.88,1.62,1.38,1.62,2,2.25,0.12,1.88,2.88,2.25,2.38,0.12,2,1.62,3.25,2.75,2.25,0.62,0.5,2,0.38,1.75,1.38,0.38,3,3.12
37-1012.00,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",3.75,3.13,3.75,3.13,2.88,3,3.13,3.25,3.13,3.13,3,2,2,1.88,1.88,2.63,2.75,1.38,3,2.63,2.88,3,3,2.75,3,3,2.38,2.25,2.38,1,1.5,2.88,0.25,1.63,2.75,2.25,2.38,0.5,1.75,1.38,3.25,2.88,3,1.13,1.13,2.88,1.38,2.38,2.75,1.13,2.88,3.13
37-2011.00,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",2.88,2.38,2.75,1.5,1.38,1.38,2.5,2.5,2.5,2.5,2.63,0,0.38,0.5,1.13,2.25,2,0.13,1.75,2.38,1.88,2.5,2.38,2.5,2.13,2.5,0.63,0.63,0.63,0.63,1,3,0.5,1.75,3.13,2.13,3.38,0.25,2.13,1.75,2.88,2.63,2,0.38,0,1.88,0.88,1.5,1.25,0.25,2.38,2.25
37-2012.00,Maids and Housekeeping Cleaners,3,2.5,2.75,1.75,1.5,1.5,2.25,2.38,2.38,2.12,2.25,0.75,1,1.12,1.12,1.75,1.75,0.25,1.88,2.12,1.75,2.12,2.38,2.12,1.75,2.12,0.88,0.75,0.75,0.88,1.62,2.25,0,1.88,3.25,2.62,3.25,0.5,2.25,1.12,2.75,2.5,1.88,0,0,1.38,0,1.12,1.5,0,2.5,2.12
37-2021.00,Pest Control Workers,3.88,2.88,3.5,2.63,2.63,2.75,3.25,3.25,3,2.88,2.75,2.38,2.88,2.25,2.5,3.5,2.75,2.13,2.63,2.5,2.63,2.63,2.63,2.75,3,2.75,2.63,1.63,2.13,1.63,2,2.38,0.13,2.13,3,2,3.25,0.13,2.25,2.25,3.25,3.13,2.75,1.63,1.63,2.5,2.25,2.5,2,1.63,3.38,3.13
37-3011.00,Landscaping and Groundskeeping Workers,3.13,2.5,2.88,2.38,2.13,2.25,2.63,2.75,2.75,2.75,2.75,0.88,1.13,1,1.38,2.13,2.25,1.38,2.88,3,2,3,3,2.75,3.38,3.5,2.13,2,2.5,1.25,2,3.38,0.38,2,3.13,2.38,3,0.63,2.5,2.13,3,2.38,2.5,1.13,1.63,2.63,2,2.38,2.38,0.88,2.38,2.38
37-3012.00,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",3.25,3,3.13,2.5,2,1.88,3,3,2.88,3.13,3,2,2.5,1.38,2,2.5,2.38,1.38,2.38,2.75,2.13,2.88,3.13,3,3.13,3,1.75,2.5,2,1.13,1.75,2.88,0.25,1.63,2.88,2.38,1.88,0.25,2.13,1.25,3,2.5,2.25,1,1,2.88,1.25,1.75,1.88,0.63,2.38,2.63
37-3013.00,Tree Trimmers and Pruners,3.38,2.75,3.38,2.5,2.13,2,3.38,2.88,2.88,3,2.75,1,1.38,1.75,2,2.63,2.38,2.38,3.25,3,2.75,3.38,3.63,3.38,4,3.63,2.75,3,4,2.38,2.63,3.5,0.5,2.88,3.75,2.88,4,0.38,3,3.13,3,2.88,2.38,1.5,2,3.5,2.13,2.88,3.38,1.38,2.63,2.63
39-1011.00,Gaming Supervisors,3.75,3.25,3.88,3.25,2.5,3,3.75,3.38,3.5,3.25,2.75,2,2.63,2.25,3.5,3.13,2.75,0,1.75,3.5,2.75,0.13,0.25,0.63,0,0.38,0.38,0,0.5,0,0.5,1.38,0.88,0.25,2.88,1.13,0.13,0,1.13,0.5,3.5,3.25,1,0.25,0.38,0.25,0.75,0.63,3,0,3.25,3.5
39-1012.00,Slot Supervisors,3.38,2.75,3.63,2.5,1.75,1.63,3.13,2.75,3.13,2.75,2.25,1.88,1.75,1.5,1.25,1.88,2.13,0,2,3.25,2.13,2.5,2.38,2.38,1.75,1.38,0.25,0.88,1.13,0.38,0.5,1.63,0,0.75,2.63,1.63,2.63,0.25,1.88,0.5,3.38,2.75,1.5,0.13,0.25,0.63,0.88,1.5,3.13,0.38,2.88,3.13
39-1021.00,First-Line Supervisors of Personal Service Workers,3.88,3.25,4,3.75,3,3.13,3.63,3.13,3.25,3,2.75,2,2.13,2,1.75,2.63,2.63,1.13,2.13,2.75,3,2.75,2.5,2.25,2.25,1.75,1.13,1,1.25,1,1.13,2.25,0,2,2.63,1.75,2.5,0,1.38,1,3.13,2.75,1.88,1.13,0.88,1.63,0.88,2.25,2.38,0.88,3.25,3.25
39-1021.01,Spa Managers,4,3.75,4,3.88,3.38,3.38,3.62,3.88,3.5,3.38,3.38,3.12,3,2.75,2.38,2.75,2.5,0.25,2.5,2.5,2.75,1.88,1.25,2.12,1.25,1.38,1.25,0.88,0.75,0.62,1.12,1.38,0,1,2.25,1.12,1,0,1.25,0.88,3.5,2.5,2.12,0,0,1.5,0,1.88,1.88,0,3.88,3.62
39-2011.00,Animal Trainers,3.63,3,4,3,3.13,3.25,4.25,3.63,3.38,3.25,3.13,1.75,2,2.5,2.75,2.5,2.38,1.5,2.88,2.75,2.75,2.38,2.75,2.63,2.88,3,2.63,2.25,2.38,1.63,2.25,3,0.5,2.63,3,2.63,3.13,0,2.63,2,3.13,3,2.5,2,1.5,2.25,1.75,2.25,2.38,1.75,3.13,3.25
39-2021.00,Nonfarm Animal Caretakers,3.38,2.88,3.25,2.12,1.88,1.75,3,2.5,2.62,2.5,2.62,1.38,1.62,1.5,1.88,2.12,2,0.5,2.12,2.5,2.12,2.62,2.12,2,1.75,2,0.62,0,0.62,0.25,1.75,3.12,0,1.75,2.88,2.25,2.75,0,1.75,1.12,2.5,2.38,1.88,0,0.25,1.25,0.25,1.88,2.25,0.62,2.75,2.62
39-3011.00,Gaming Dealers,3.62,3,3.5,2.38,2.5,2.25,3,3.12,3,3.12,3,2,3,2,2.62,2.62,3.12,0,2.38,3.12,2.62,2.38,3.12,2.88,2,2,0.38,0.25,0.25,0.75,0.25,1.38,0,1.25,2.38,1.38,1.75,0.25,1.12,0.88,3.25,2.75,2.25,0,0,1.12,0,2,2.25,0.38,3.12,3
39-3012.00,Gaming and Sports Book Writers and Runners,3.75,3.25,3.75,3,2.38,2.13,3.25,3.25,2.88,3.13,2.88,2.38,2.38,2.13,1.75,2.63,2.5,0.25,2.13,3,2.5,2.38,2,2.5,1.88,1.25,0,1.25,1.38,0,0.88,1.38,0,0.75,1.63,0.75,0.88,0,1.13,0.25,3.5,2.63,2.13,0,0,1,0,1.63,2.25,0,2.63,2.88
39-3021.00,Motion Picture Projectionists,3.63,3.13,3.38,2.88,1.75,2.13,3,2.88,2.88,3.13,3,0.25,0.63,1.13,1.63,2.63,2.75,1.13,3.13,3.13,2.38,3.38,3,3.25,3.25,2.75,2.38,2.5,2.88,1.63,1.25,1.63,0,0.5,1.88,1,1.75,0,1.38,0.38,3.5,3.63,3.25,2,1,2.63,2.13,2.75,2.75,1.38,2.75,2.75
39-3031.00,"Ushers, Lobby Attendants, and Ticket Takers",3.13,2.38,3.25,2,2,2.13,2.75,2.38,2.25,2.5,2.5,1.25,1.75,1.38,1.63,2.38,2.25,0.75,2,2.38,2,2,1.75,2.38,1.38,1.25,0.38,0,0.13,0.38,0.13,1.38,0,1,2.38,1.13,1.25,0,1.38,1.13,3,2.5,2,0.5,0.13,1.38,0.13,2,2,0.13,2.63,2.75
39-3091.00,Amusement and Recreation Attendants,3,2.62,3.75,2,1.75,1.75,3.12,2.5,2.38,2.12,2,1.12,1.25,1.88,1.75,1.88,1.88,0.62,1.62,2.12,2,2,2.12,2,2.25,2.25,2.12,1.5,2.25,1.12,1.12,1.75,0.88,1,2.25,1.88,1.75,0,1.5,1,2.88,2.12,0.75,0.12,0.25,1.62,0.88,1.38,2,0.38,2.75,2.88
39-3092.00,Costume Attendants,3.63,2.88,3.38,2.5,2.63,2.88,2.75,2.88,2.75,2.5,2.75,0.13,0.38,0.5,1,2.25,2,0,2.63,2.5,0.75,3,2.88,3.13,2.5,1.88,0.88,0.25,0.63,1.5,0.75,2,0,1.13,1.88,1.38,1.5,0.25,1.13,0.88,3.38,2.75,2.5,0,0,1.5,0,1.38,0.63,0,2.38,2.63
39-3093.00,"Locker Room, Coatroom, and Dressing Room Attendants",3,2.88,3.25,2.25,1.62,0.88,2.88,2.62,2.38,2.62,2.25,0.25,0.38,1,0.88,1,0.88,0.12,0.5,2.12,1.62,1.62,1.5,1.38,1.38,1.12,0,0,0,0,0.5,1.25,0,0.62,2.38,1.75,2.88,0,1.25,1,3,2,1.12,0,0,0,0,0.25,0.5,0,3,2.75
39-4011.00,Embalmers,4,3.38,4,3,2.62,2.5,3.25,3.25,3,3.38,2.88,1.12,1.25,1.25,1.25,2.62,1.88,0.75,3.12,2.25,2,4,3.25,3.25,3,2.75,1,0.75,1,1.5,1,3.25,0.12,1.38,3,1.62,1.75,0,1.75,0.62,4,2.5,3.5,1,0.75,2.38,1,1.25,1.12,0.75,3.12,3
39-4021.00,Funeral Attendants,3.63,2.75,3.5,2.38,1.38,1.13,2.63,2.5,2.5,2.5,1.75,0.25,0.5,1,0.5,0.75,0.88,1.13,1.75,1.75,1.88,1.88,1.38,0.5,2.38,2.38,0.5,0.88,1,0,0.5,3.25,0,1.13,2.88,1.13,1.13,0,1.25,0.25,3,2.25,0.88,0.38,0.63,1.63,0.63,0.25,0.63,0.13,2.75,2.75
39-4031.00,"Morticians, Undertakers, and Funeral Directors",4,3.88,4.25,3.62,3.12,2.88,3.38,3.5,3.25,3.38,3.12,2.88,3.12,2.75,2.62,2.62,2.62,1.38,2.62,3,3,2.88,2.75,2.75,2.75,2.75,2.38,1.5,1.88,1.75,2,2.62,0,1.25,2.25,1.5,2.12,0,1.88,1.12,3.62,2.62,2.5,1.38,1,2.38,1.25,1.88,1.75,1.25,4,3.88
39-5011.00,Barbers,3.5,3,3.5,2.38,2.38,2.75,3.13,3,3.13,2.63,2,0.25,1.13,1.25,1.63,1.75,1.13,0,2.75,3,2.25,3.38,3,3.13,2.88,2.13,0.5,0.13,0.25,1.63,0.13,1.13,0,1.5,2.63,0.88,1.38,0,0.63,0.25,3.13,1.38,2.13,0,0,0.88,0,1.38,1.63,0,3,2.38
39-5012.00,"Hairdressers, Hairstylists, and Cosmetologists",3.25,2.88,3.25,2,3.25,3.13,3,3.25,2.88,2.88,2.75,1.63,1.63,1.75,2.38,2.75,2.38,0,3.63,2.5,3,3.75,3.5,3.5,2.63,2.75,0,0,0,1.75,0.38,1.38,0,1.5,3,1.38,2.88,0,1,0.25,3.5,2.5,3.25,0,0,1.63,0.38,1.5,2.13,0,3.25,2.63
39-5091.00,"Makeup Artists, Theatrical and Performance",3.75,3.12,3.88,2.5,3.62,3.62,3.12,3,2.88,3,3.38,1.88,2.38,2.12,2.75,2.88,2.88,0,3.62,3.12,2.25,3.75,3.62,3.38,2.25,2.62,0.12,0,0.12,1.25,1.5,1.88,0,1.75,2.62,1.62,2.5,0.12,1.75,1.25,3.62,3.12,4,0.5,0,2.12,1.75,1.75,2.38,0,3,2.75
39-5092.00,Manicurists and Pedicurists,2.75,2.38,2.5,1.75,2.13,2.25,2.5,2.5,2.38,2.38,2.63,1.13,1.88,0.5,1.5,1.75,2,0,2,2,2.13,3,2.38,3.25,2.25,2.13,0.25,0,0.13,0.75,0.38,1.25,0,0.25,0.63,0.13,0.38,0,0.13,0.13,2.88,2,2.38,0,0,1.75,0,1.75,2,0,3.25,2.63
39-5093.00,Shampooers,2.62,2.5,2.88,2,1.75,1.62,2.25,2.38,2.38,2,2.25,0.75,0.88,1.38,1.38,1.75,1.62,0,1.62,2.38,2.25,2.75,2.88,2.75,2.12,1.75,0,0,0,1.12,0.5,1.5,0,2,2.75,1.88,2.38,0.38,1,0.38,2.88,1.75,2,0,0,0.75,0,1.25,1.25,0,2.75,2.5
39-5094.00,Skincare Specialists,3.75,3.25,3.75,2.88,3,2.88,3,3,3,2.88,3,0.62,1,1.25,1.88,2.12,2,0,2.12,2.75,2.38,3.25,2.88,2.88,2.62,2,0.25,0.25,0.25,0.88,0,1.88,0,1.62,2,1.75,2,0,0.5,0.25,3.75,2,3,0,0,1.62,0.12,1.38,1.12,0,3,2.88
39-6011.00,Baggage Porters and Bellhops,3,2.62,3.75,2,1.88,1.75,2.88,2.38,2.25,2.25,2.38,1.5,1.25,2.38,1.5,2.12,2.38,2.5,1.75,3,2.62,2,2.38,2.25,2.5,2.62,1.75,1.12,1.5,0.12,1.88,4,0.12,2.5,3.38,2.88,3.25,0.38,2.62,1.38,2.75,2.75,1.88,1.38,1.38,2.25,1.25,1.75,2.5,1,3.38,3.12
39-6012.00,Concierges,4,3.25,4,2.88,3.12,3,3.5,3,2.75,3,3.12,1.88,1.88,3.12,2.12,2.25,2.12,0.88,2,2.5,2.12,1.12,1.12,1.88,0.88,1.12,0.38,0,0.12,0.12,0.12,1.88,0,0.12,2.12,0.62,0,0,0.5,0.25,3.38,2.38,1.5,0,0,1.38,0,1.38,2.12,0,4.12,3.75
39-7011.00,Tour Guides and Escorts,4,3,4.12,2.12,2.25,2.5,3.12,2.88,2.88,2.75,2.5,1.12,1.12,2.5,1.38,1.88,1,1.5,1.38,2.25,2.5,1.25,0.62,1,0.88,1.38,0,0,0.12,0.12,0.75,1.12,0,1,2.25,1.5,1.12,0,1.75,0.62,2.75,2.75,1,0.25,0.12,1.12,0.25,0.62,1.25,0.25,3.25,3.88
39-7012.00,Travel Guides,4.13,3.63,4.13,3.13,3.38,3.38,3.38,3.38,3.25,3.25,3.13,2.38,2.88,2.5,2.38,2.5,2.5,2.88,2.5,2.63,3,2.25,1.75,2.13,2.5,2.25,1.88,0.88,1.75,0.38,0,0.75,0,0.63,1.25,0.75,0.63,0.25,0.75,0.63,3.25,3.13,1.88,0.63,1.25,2.38,0.75,2.13,2,0.5,4.38,4.25
39-9011.00,Childcare Workers,3.75,3.38,3.5,3.25,2.88,3,3.5,3.12,3.25,3.25,3.12,2.12,2.12,2.5,2.5,2.75,2.38,0.12,2.62,3.12,2.75,2.75,2,2.5,0,2.25,0,0,0.25,0,1.12,2.38,0,1.75,2.5,2.12,2.5,0,2,1.88,3.12,3.12,2.62,0,0.25,1.25,0,1.88,2.25,0,3.38,3.38
39-9011.01,Nannies,4,3.25,4,3,3.38,3.25,3.88,3.25,3.25,3.13,3,0.88,1.75,2.75,2.5,3.25,2.13,2.13,3,2.75,2.88,2.63,2.38,2.38,2.5,2.5,3,1.13,1.75,0.5,1.5,2.88,0.25,1.88,2.88,2.25,3.13,0.38,2.38,1.25,3.13,2.88,2,1.75,2,2.25,1.38,2.38,2.5,1.25,3.5,3.13
39-9021.00,Personal Care Aides,3.5,3.12,3.5,2.62,1.88,1.88,3.25,2.88,2.62,2.88,2.5,1.5,1.88,2,1.62,2.25,2.25,0.5,1.88,2.62,2.5,2.62,1.75,2.38,1.88,2.38,0.62,0,0.5,0.38,1.62,2.38,0.12,1.62,2.5,2,2.25,0.12,1.88,0.75,3.25,2.62,1.88,0.25,0,2.25,0.12,2.25,1.5,0,3,2.88
39-9031.00,Fitness Trainers and Aerobics Instructors,3.88,3.12,3.88,2.88,2.75,3.12,3.12,3,3,3.12,2.75,0.62,1,2.5,2,2.25,2.5,1.25,2.38,2.62,2.62,2.75,2.62,2.38,1.88,3.5,0.88,0.88,0.75,0.62,2.88,3.5,2,4.12,4.38,4.25,4,3.12,4,2.88,2.88,3,1.5,0,1.12,1.88,0,1.88,2.5,0.38,3.25,3.5
39-9032.00,Recreation Workers,4,3.38,4,3.38,3.25,3.5,3.38,3.25,3.12,3.12,3.12,2.25,2.25,1.75,2.62,2.75,2.5,0.25,2.5,2.75,2.75,2.12,0.5,2,1.75,2.38,1.5,0.25,1.75,0.5,1.75,2.25,1.38,2.12,2.88,2.88,1.75,0.25,2.62,1.88,3.25,2.5,1.75,0,0,1.62,0.75,1.62,1.75,0,3,3.38
39-9041.00,Residential Advisors,4,3.75,4,3.12,3,3,3.62,3.25,3.12,3.12,3,2,2,2.12,2.25,2.38,2.25,0.88,2.25,2.62,2.38,1.25,1.12,2.12,1.12,1.38,1,0.62,0.88,0,0.75,1,0,0.75,1.88,0.88,0.75,0,0.88,0.5,3,2.88,2.12,0.62,0.62,1.25,0.75,2,2.12,0.62,3.88,3.38
41-1011.00,First-Line Supervisors of Retail Sales Workers,4,3.38,4.12,3.75,3.38,3.25,3.62,3.62,2.88,3.25,3.25,3.12,3,2.5,2.5,2.62,2.75,0.5,3.12,2.62,2.38,2.5,2.38,2.62,2.25,2.5,1.62,1.25,1.25,1.62,1.88,2.5,0,1.5,2.38,1.75,3,0.5,2,1.12,3.75,3.25,2.75,0,0,1.62,0,2.12,2.5,0.38,3.62,3.25
41-1012.00,First-Line Supervisors of Non-Retail Sales Workers,4,4,4.12,3.75,3.62,3.5,3.38,4,3.75,3.38,3.25,3.25,3.12,2.62,2.25,2.88,2.62,0.12,2.88,2.75,2,0,0,2.62,0.12,0.12,0,0,0,0,0,0,0,0,0.75,0,0,0,0,0,3.62,2.88,1.75,0,0,1,0,1.5,1.88,0,4,3.75
41-2011.00,Cashiers,3.5,3.12,3.25,2.5,2,2,2.88,2.88,3,2.62,2.5,2,2.38,2.25,2.12,2,2.25,0,1.38,2.62,2.5,2.25,2.25,2.5,2.38,2,1.75,1,1.25,2,1.12,1.62,0,1,2.62,1.88,2.25,0,1.5,1.12,3.25,2,1.62,0,0,1.38,0,2.25,0.25,0,3.12,2.88
41-2012.00,Gaming Change Persons and Booth Cashiers,3.38,2.88,3.38,2.25,1.88,1.62,3,2.75,2.62,2.62,2.88,2.38,2.88,2,2.12,2.62,2.75,0.38,1.88,3.12,2.25,2,2.25,2.5,2,2,1.88,0.88,1.12,1.75,1.5,1.5,0,1.12,2.25,1.25,1.88,0,1.5,0.5,3.25,3,2.5,0,0,1.5,0,2.12,2.88,1.25,3,2.88
41-2021.00,Counter and Rental Clerks,3.75,3.12,3.62,3.12,2.38,2.25,2.88,2.75,2.75,2.62,2.88,2.38,2.62,2.12,2.12,2.62,2.38,0.25,2.12,2.62,2.5,2.25,2.12,2.38,2.5,2.38,1.62,1,1.5,1.38,1.25,2.12,0,1.38,2,1.5,1.25,0,1.62,1.25,3,2.5,1.75,0,0,1.88,0.25,1.62,2,0,3.38,3
41-2022.00,Parts Salespersons,3.75,3.38,4,2.63,2.88,2.38,2.88,3.25,3.38,3,3.75,2.25,2.38,2.75,3.13,3.25,2.75,0.75,2.75,2.63,2.5,2.88,2.13,3,2,1.75,0.25,0,0,0.75,1.38,2.88,0.5,1.13,2.5,1.63,3,0,1.63,1.38,4.5,3,2.75,0,0,0.5,0,2.5,2.25,0.5,4.13,3
41-2031.00,Retail Salespersons,3.88,3.25,3.75,3,3,2.75,3.12,3,3,2.88,3.12,2.38,2.5,2.25,1.75,2.12,2.38,0,2.38,2.75,2.5,2,1.75,2.5,1.88,1.62,0,0,0,0,1.25,2,0.25,1.12,2.88,1.75,1.62,0,1.75,1.25,3,2.25,2.12,0,0,1.25,0,1.62,1.62,0,3.62,3.38
41-3011.00,Advertising Sales Agents,4,3.88,4.38,3.75,3.62,3.25,3.38,3.88,3.38,3.5,3.38,3,3,2.62,2.62,2.75,2.5,0,3.12,2.75,2.62,0.12,0.25,2.38,1.62,1.25,0.12,0,0.12,0.12,0,0,0,0,1.88,0,0,0,0,0,3.75,3.12,2.88,0,0,1.62,0.38,1.62,2,0,4.25,4.12
41-3021.00,Insurance Sales Agents,4.12,4.12,4.12,3.88,2.75,2.75,3.62,3.5,3.38,3.12,3.5,2.75,2.62,2.5,2.25,2.75,2.25,0,2.5,2.75,2.62,0,0,1.88,1.12,1,0,0,0,0.25,0,0,0,0,0.25,0,0,0,0,0,3.5,2.62,1.62,0.25,0,1.12,0.25,1.5,1.38,0,3.75,3.75
